3, 1A8-3, Jasmine Yellow,#FEE8AF,
3, 1A8-4, Blondelle,#FFE2A0,
3, 1A8-5, King's Gold,#F8CB78,
3, 1A9-3 ,Saffron,#FFE9C0,
3, 1A9-4 ,Field Gold,#FFDDA0,
3, 1A9-5 ,Fried Banana,#F9CF85,
3, 1B10-1, Coffee Cream,#FFF1D7,
3, 1B10-2 ,Graceful Veil,#FFECCB,
3, 1B10-6 ,Spice Wreath,#F1B056,
3, 1B1-1 ,Pastel Yellow,#FDF5DE,
3, 1B11-1 ,Moondrop,#FFF2D5,
3, 1B11-2 ,Custard,#FFEABD,
3, 1B11-6 ,Arnica,#FEBE3A,
3, 1B1-2 ,Yellow Lily,#FFEAA9,
3, 1B12-1 ,Saltine,#FEEECD,
3, 1B12-2 ,Threaded Gold,#FEEBC1,
3, 1B12-6 ,Sun Melt,#FFCC63,
3, 1B13-1 ,Melon Seed,#FFDFB0,
3, 1B13-2 ,Butter Touch,#FFDB9F,
3, 1B13-6 ,Tropical Sun,#FFAF3A,
3, 1B14-1 ,Vanilla Hint,#FCE2C1,
3, 1B14-2 ,Corn Silk,#FFDEB3,
3, 1B14-6 ,Muskmelon,#F9A84D,
3, 1B15-1 ,Orange Icing,#FEE0BC,
3, 1B15-2 ,Pale Cosmos,#FFE0B2,
3, 1B15-6 ,Tangerine Glow,#FFA948,
3, 1B1-6 ,Mexican Sun,#FFD95E,
3, 1B16-1 ,Macaroon,#FCE2C9,
3, 1B16-2 ,Pastel Peach,#FFDCBE,
3, 1B16-6 ,Sun-dried Orange,#EF905A,
3, 1B17-1 ,Misty Peach,#FFE9D2,
3, 1B17-2 ,Cream Peach,#FFDDC4,
3, 1B17-6 ,Carroteen,#F99362,
3, 1B18-1 ,Coral Tint,#FFEAD9,
3, 1B18-2 ,Salmon Bisque,#FFE2D0,
3, 1B18-6 ,Sunkissed Poppy,#EE825B,
3, 1B19-1 ,Shrimp Bisque,#FFE8DA,
3, 1B19-2 ,Peach Melba,#FDCEBC,
3, 1B19-6 ,Firecrown,#F38260,
3, 1B20-1 ,Peach Ice,#FFDACA,
3, 1B20-2 ,Sheer Peach,#FFD1C1,
3, 1B20-6 ,Fiesta Orange,#F28870,
3, 1B2-1 ,Crystal Light,#FDF7E1,
3, 1B21-1 ,Psyche Pink,#FFE4D9,
3, 1B21-2 ,Cherub Pink,#FFD9CE,
3, 1B21-6 ,Aurora Peach,#EC7C68,
3, 1B2-2 ,Lemon Chill,#FFF4CA,
3, 1B22-1 ,Light Confetti,#FEEDE3,
3, 1B22-2 ,Peach Pearl,#FDD5CB,
3, 1B22-6 ,Calendula,#E36856,
3, 1B23-1 ,Pink Chablis,#FFE4DB,
3, 1B23-2 ,Ceramic Pink,#FCDBD6,
3, 1B23-6 ,Amber Coral,#E17166,
3, 1B24-1 ,Pastel Pink,#FFE4E0,
3, 1B24-2 ,Flower Pink,#FBCFD0,
3, 1B24-6 ,Wild Japonica,#DE6667,
3, 1B25-1 ,Pixie Pink,#FCDAD8,
3, 1B25-2 ,Sugar N' Spice,#F8C4C8,
3, 1B25-6 ,Hot Cayenne,#D06263,
3, 1B2-6 ,Bright Papaya,#FFD84F,
3, 1B26-1 ,Pirouette,#F8E0DC,
3, 1B26-2 ,Pink Mermaid,#FACDCA,
3, 1B26-6 ,Chinese Dragon,#B34A44,
3, 1B27-1 ,Ivory Pink,#F9E0DC,
3, 1B27-2 ,Ballerina,#F9CFD1,
3, 1B27-6 ,High Chroma Red,#C34F4F,
3, 1B28-1 ,Bridal Pink,#FBE5E7,
3, 1B28-2 ,Slipper Pink,#FDDDE0,
3, 1B28-6 ,Melody Pink,#DB6571,
3, 1B29-1 ,Minuet,#F5D2D8,
3, 1B29-2 ,Love Blush,#F5CAD1,
3, 1B29-6 ,Cyclamen,#C85F6D,
3, 1B30-1 ,Blush Tone,#F3DADD,
3, 1B30-2 ,Circus Pink,#F1CED5,
3, 1B30-6 ,Keepsake,#BA5C74,
3, 1B3-1 ,Angora,#FEF0BF,
3, 1B31-1 ,Heather Tint,#F5DDEA,
3, 1B31-2 ,Cherry Mist,#F4D3E4,
3, 1B31-6 ,Magenta,#BB5988,
3, 1B3-2 ,Lemon Thyme,#FEEAAD,
3, 1B32-1 ,Sweet Violet,#E9D2E4,
3, 1B32-2 ,Cut Lavender,#E4C4DC,
3, 1B32-6 ,Grandeur,#7E5784,
3, 1B33-1 ,Ellusive Violet,#E5D7E6,
3, 1B33-2 ,Silent Lucidity,#DDCEE1,
3, 1B33-6 ,Viking Purple,#7D5F91,
3, 1B34-1 ,Lilac Scent,#E1DEE9,
3, 1B34-2 ,Quartz Moon,#D8D4E5,
3, 1B34-6 ,Celestial Lilac,#72689A,
3, 1B35-1 ,Paramour,#DBDDEA,
